"Name";"Description"
"HIGHCO-B.ST.ST";"High Coast Distillery"
"HILB-B.ST.ST";"Hilbert Group"
"HMS.ST.ST";"HMS Networks"
"HOI-B.ST.ST";"Hoi Publishing"
"HOFI.ST.ST";"Hoist Finance"
"HOLM-A.ST.ST";"Holmen A"
"HOLM-B.ST.ST";"Holmen B"
"HOME-B.ST.ST";"HomeMaid"
"HOODIN.ST.ST";"Hoodin"
"HOTEL.ST.ST";"Hotel Fast"
"HUBS.ST.ST";"Hubbster"
"HUBSO.ST.ST";"Hubso Group"
"HUFV-A.ST.ST";"Hufvudstaden A"
"HUM.ST.ST";"Humana"
"HUMBLE.ST.ST";"Humble Group"
"HUNTER.ST.ST";"Hunter Capital"
"HUSQ-A.ST.ST";"Husqvarna A"
"HUSQ-B.ST.ST";"Husqvarna B"
"HYCO.ST.ST";"Hybricon"
"LOVE-B.ST.ST";"I Love Lund"
"IAR-B.ST.ST";"I.A.R Systems"
"ICO.ST.ST";"Iconovo"
"IDLDX.ST.ST";"IDL Diagnostics"
"IDUN-B.ST.ST";"Idun Industrier"
"ABI.ST.ST";"Igrene"
"IS.ST.ST";"Image Systems"
"IMMNOV.ST.ST";"Immunovia"
"IMPC.ST.ST";"Impact Coatings"
"IMP-A-SDB.ST.ST";"Implantica"
"INCOAX.ST.ST";"InCoax Networks"
"INDU-A.ST.ST";"Industrivärden A"
"INDU-C.ST.ST";"Industrivärden C"
"INDT.ST.ST";"Indutrade"
"IBT-B.ST.ST";"Infant Bacterial"
"INFRA.ST.ST";"Infracom"
"INFREA.ST.ST";"Infrea"
"ISAB.ST.ST";"Inhalation Sciences"
"INISS-B.ST.ST";"Inission"
"INIT.ST.ST";"Initiator Pharma"
"INSP.ST.ST";"Insplorion"
"INSTAL.ST.ST";"Instalco"
"INTEA-B.ST.ST";"Intea Fastigheter B"
"INTEA-D.ST.ST";"Intea Fastigheter D"
"INTEG-B.ST.ST";"Integrum"
"INT.ST.ST";"Intellego Technologies"
"IPCO.ST.ST";"International Petroleum"
"IVACC.ST.ST";"Intervacc"
"INTRUM.ST.ST";"Intrum"
"IMS.ST.ST";"Invent Medic"
"INVE-A.ST.ST";"Investor A"
"INVE-B.ST.ST";"Investor B"
"INWI.ST.ST";"Inwido"
