"Name";"Description"
"LPGO.ST";"Lipigon Pharmaceuticals"
"LIPUM.ST";"Lipum"
"LITI.ST";"Litium"
"LOGI-A.ST";"Logistea A"
"LOGI-B.ST";"Logistea B"
"LOGIST-B.ST";"Logistri"
"LOHILO.ST";"Lohilo Foods"
"LOOMIS.ST";"Loomis"
"LOVI.ST";"Lovisagruvan"
"LOYAL.ST";"Loyal Solutions"
"LUC.ST";"Lucara Diamond"
"LUMEN.ST";"LumenRadio"
"LUND-B.ST";"Lundbergföretagen"
"LUG.ST";"Lundin Gold"
"LUMI.ST";"Lundin Mining"
"LXB.ST";"Luxbright"
"LYGRD.ST";"Lyckegård"
"LYKO-A.ST";"Lyko"
"MAGI.ST";"MAG Interactive"
"MAGLE.ST";"Magle Chemoswed"
"MAGNA.ST";"Magnasense"
"MAHA-A.ST";"Maha Energy"
"MAHVIE.ST";"Mahvie Minerals"
"MEAB-B.ST";"Malmbergs Elektriska"
"MANG.ST";"Mangold"
"MANTEX.ST";"Mantex"
"MASHUP.ST";"Mashup Ireland"
"MAVEN.ST";"Maven Wireless"
"MAV.ST";"Mavshack"
"MAXENT-B.ST";"Maximum Entertainment"
"MCAP.ST";"MedCap"
"MCLR.ST";"Medclair"
"MEDHLP.ST";"Medhelp Care"
"MEGR.ST";"Mediacle"
"MCOV-B.ST";"Medicover"
"MVIR.ST";"Medivir"
"MEKO.ST";"MEKO"
"IMMU.ST";"Mendus"
"MNTC.ST";"Mentice"
"MER.ST";"Meren Energy"
"META.ST";"Metacon"
"MSAB-B.ST";"Micro Systemation"
"MPOS.ST";"Micropos Medical"
"MSON-A.ST";"Midsona A"
"MSON-B.ST";"Midsona B"
"MIDS.ST";"Midsummer"
"MILDEF.ST";"Mildef Group"
"MNDRK.ST";"MindArk"
"MINEST.ST";"Minesto"
"MIPS.ST";"Mips"
"MIR.ST";"Miris"
"MOBA.ST";"MOBA Network"
"MOB.ST";"Moberg Pharma"
"MODEL.ST";"Modelon"
"MTG-A.ST";"Modern Times Group A"
"MTG-B.ST";"Modern Times Group B"
"MODTX.ST";"Modus Therapeutics"
"MOFAST.ST";"Mofast"
"MOMENT.ST";"Moment Group"
"MMGR-B.ST";"Momentum Group"
"MONI.ST";"Monivent"
"MODI.ST";"Motion Display"
"MBBAB.ST";"MoveByBike"
"MRSELL.ST";"mResell"
"MTI.ST";"MTI Investment"
"MTRS.ST";"Munters"
"MYBEAT.ST";"My Beat"
"MYCR.ST";"Mycronic"
"SAFETY-B.ST";"mySafety"
"NANEXA.ST";"Nanexa"
"NANOC-B.ST";"NanoCap"
"NANECH.ST";"NanoEcho"
"NANOFS.ST";"Nanoform"
"NICA.ST";"Nanologica"
"NATTA.ST";"Nattaro Labs"
"NAVIGO-STAM.ST";"Navigo Invest"
"NAXS.ST";"NAXS"
"NCAB.ST";"NCAB Group"
"NCC-A.ST";"NCC A"
"NCC-B.ST";"NCC B"
"NMAN.ST";"Nederman"
"NELLY.ST";"Nelly Group"
"NEOBO.ST";"Neobo Fastigheter"
"NEOLA.ST";"Neola Medical"
"NEO-B.ST";"Neovici Holding B"
"NEPA.ST";"Nepa"
"NETI-B.ST";"Net Insight"
"NETEL.ST";"Netel Holding"
"NJOB.ST";"NetJobs"
"NNH.ST";"New Nordic Healthbrands"
"NEWA-B.ST";"New Wave"
"NEWBRY.ST";"Newbury Pharmaceuticals"
"NEXAM.ST";"Nexam Chemical"
"NXAR.ST";"Nexar Group"
"NXTCL.ST";"NextCell Pharma"
"NFO.ST";"NFO Drives"
"NGS.ST";"NGS Group"
