name;description
REJL B;Rejlers
RLVNC;Relevance Communication
RVN;Renewable Ventures
RENT;Rentunder
RESP;Respiratorius
RESURS;Resurs Holding
SX4040PI;Retail
SX404010PI;Retailers
RVRC;Revolutionrace
RIGHTB;RightBridge Ventures
RO;Rolling Optics
RROS;Rottneros
RUG;RugVista
RUSTA;Rusta
ROKO B;Röko
S2M;S2Medical
SAAB B;Saab
SAFE;Safe at Sea
SLG B;Safe Lane Gaming
SFL;Safello Group
SFTR;Safeture
SAGA A;Sagax A
SAGA B;Sagax B
SAGA D;Sagax D
SALT B;SaltX Technology
SBB B;Samhällsbyggnadsbolag B
SBB D;Samhällsbyggnadsbolag D
SAMPO SDB;Sampo
SAMT B;Samtrygg
SAND;Sandvik
SANION;Saniona
SARS;SARSYS
YIELD;SaveLend
SAXG;Saxlund
SCA A;SCA A
SCA B;SCA B
SBOK;ScandBook
SCST;Scandi Standard
SHOT;Scandic Hotels
SDOS;ScandiDos
ASTOR;Scandinavian Astor
SES;Scandinavian Enviro
HEART;Scandinavian Real Heart
SCOL;Scandion Oncology
SCIB;Scibase
SCOUT;Scout Gaming
SDIP B;Sdiptech
SDIP PREF;Sdiptech Pref
SEAF;Seafire
SDS;Seamless Distribution Systems
STW;SeaTwirl
SEB A;SEB A
SEB C;SEB C
SECT B;Sectra
SECU B;Securitas
SEDANA;Sedana Medical
SEHED B;SEHED Byggmästargruppen
SDET;SensoDetect
SGG;Sensys Gatso
SENZA;SenzaGen
SEZI;Senzime
SERT;Serstech
SNM;ShaMaran
SHT B;SHT Smart High-Tech
SIBEK;Sibek
SILEON;Sileon
SIMRIS B;Simris Alg
SINCH;Sinch
SINT;SinterCast
SIVE;Sivers Semiconductors
SCC B;Sjöstrand Coffee
SKA B;Skanska
SKF A;SKF A
SKF B;SKF B
SKIS B;SkiStar
SKOLON;Skolon
SKMO;Skåne-möllan
SLEEP;Sleep Cycle
SLOTT B;Slottsviken B
SEYE;Smart Eye
SMOL;Smoltek
SOCIAL;Sociallite US
SOF B;Softronic
SX101010PI;Software & Computer
SFAB;Solid Försäkring
SOLIDX;SolidX
SOLNA;Solnaberg
SOLT;SolTech Energy
SONE;Sonetel
SOSI;Sotkamo Silver
SOUND;Sound Dimension
SOZAP;Sozap
SPAGO;Spago Nanomedical
SPEC;SpectraCure
SPEONE;SpectrumOne
SPERM;Spermosens
SPERR;Sperrung
SPIFF;Spiffbet
SPLTN;Spiltan Invest
SPGR;Spotlight Group
SPOTR;Spotr Group
SPRINT;Sprint Bioscience
SSAB A;SSAB A
SSAB B;SSAB B
STVA B;Star Vault
STAR A;Starbreeze A
STAR B;Starbreeze B
STABL;Stayble Therapeutics
STEF B;Stendörren Fastigheter
